PrimaryKey,Sire,Dam,Sex,Color,Year,Details,URL,Horse Name,Generation,LoadURL,,,
zinganee+mare,zinganee,orville+mare3,M,b,1837,"ZINGANEE MARE  (GB) b. M, 1837 {21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/zinganee+mare,ZINGANEE MARE  (GB),0,True,,,
langar2,langar,wild+rose2,H,ch,1837,LANGAR (GB) ch. 1837,https://www.pedigreequery.com/langar2,LANGAR (GB),4,,,,
the+colonel+mare,the+colonel3,king+williams+arabian+mare,M,b,1837,"THE COLONEL MARE  (GB) b. M, 1837 {51} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/the+colonel+mare,THE COLONEL MARE  (GB),0,True,,,
doris3,terror2,chloris4,M,ch,1837,"DORIS  (FR) ch. M, 1837 {3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/doris3,DORIS  (FR),0,True,,,
celerity3,leviathan,patty+puff,M,ch,1837,CELERITY (USA) ch. 1837,https://www.pedigreequery.com/celerity3,CELERITY (USA),2,,,,
billow4,taurus2,leeway,M,ch,1837,BILLOW (GB) ch. 1837,https://www.pedigreequery.com/billow4,BILLOW (GB),1,,,,
black+bess5,camel,scud+mare,M,blk,1837,BLACK BESS (GB) blk. 1837,https://www.pedigreequery.com/black+bess5,BLACK BESS (GB),2,,,,
the+virgin,velocipede,zephyrina,M,br,1837,THE VIRGIN (GB) br. 1837,https://www.pedigreequery.com/the+virgin,THE VIRGIN (GB),4,,,,
sally+warfoot,defence,madcap6,M,ch,1837,SALLY WARFOOT (GB) ch. 1837,https://www.pedigreequery.com/sally+warfoot,SALLY WARFOOT (GB),3,,,,
miss+foote3,herald6,yellow+jenny,M,,1837,"MISS FOOTE  (AUS) M, ~1837 {C26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/miss+foote3,MISS FOOTE  (AUS),0,True,,,
alice+hawthorn,muley+moloch,rebecca,M,b,1838,"ALICE HAWTHORN  (GB) b. M, 1838 {4-f} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/alice+hawthorn,ALICE HAWTHORN  (GB),0,TRUE,1,,
ann+innis,american+eclipse,miss+obstinate,M,br,1838,"ANN INNIS  (USA) br. M, 1838 {4-r} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/ann+innis,ANN INNIS  (USA),0,True,1,,
argentile,bertrand,allegrante,M,b,1838,"ARGENTILE  (USA) b. M, 1838 {9-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/argentile,ARGENTILE  (USA),0,True,,,
bees+wing3,dr+syntax,destiny3,M,b,1838,"BEES WING (FR) b. M, 1838 {1-f} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bees+wing3,BEES WING (FR),0,TRUE,1,,
beiram+mare,beiram,addy2,M,ch,1838,"BEIRAM MARE (GB) ch. M, 1838 {3-k} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/beiram+mare,BEIRAM MARE (GB),0,True,1,,
boyds+camel,camel,miss+skim,H,b,1838,"BOYDS CAMEL  (GB) b. H, 1838 {34} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/boyds+camel,BOYDS CAMEL  (GB),0,True,,,
buzzard+mare4,buzzard2,donna+maria,M,ch,1838,"BUZZARD MARE  (GB) ch. M, 1838 {32} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/buzzard+mare4,BUZZARD MARE  (GB),0,TRUE,1,,
camel+mare2,camel,walfruna,M,br,1838,"CAMEL MARE  (GB) br. M, 1838 {9-d} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/camel+mare2,CAMEL MARE  (GB),0,True,,,
camp+follower4,the+colonel3,galatea3,M,ch,1838,"CAMP FOLLOWER  (GB) ch. M, 1838 {8-e} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/camp+follower4,CAMP FOLLOWER  (GB),0,TRUE,1,,
cassandra3,priam,flirtilla2,M,ch,1838,"CASSANDRA  (USA) ch. M, 1838 {4-r} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf - 17 Starts, 13 Wins, 1 Places, 0 Shows ",https://www.pedigreequery.com/cassandra3,CASSANDRA  (USA),0,True,,,
collina2,langar,lady+stafford,M,b,1838,COLLINA (GB) b. 1838,https://www.pedigreequery.com/collina2,COLLINA (GB),1,,,,
coronation6,sir+hercules,ruby2,H,b,1838,"CORONATION  (GB) b. H, 1838 {26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/coronation6,CORONATION  (GB),0,True,1,,
deception4,theorem,cutty+sark,M,ch,1838,"DECEPTION  (AUS) ch. M, 1838 {C3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/deception4,DECEPTION  (AUS),0,True,1,,
defy2,defence,selim+mare6,M,br,1838,"DEFY  (GB) br. M, 1838 {2-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/defy2,DEFY  (GB),0,True,,,
delhi,plenipotentiary,pawn+junior,M,blk,1838,"DELHI  (GB) blk. M, 1838 {1-f} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf Career Earnings: Unraced",https://www.pedigreequery.com/delhi,DELHI  (GB),0,TRUE,1,,
diversion,defence,folly2,M,ch,1838,"DIVERSION  (GB) ch. M, 1838 {5-i} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/diversion,DIVERSION  (GB),0,TRUE,1,,
echidna,economist,miss+pratt,M,b,1838,"ECHIDNA  (IRE) b. M, 1838 {24} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/echidna,ECHIDNA  (IRE),0,TRUE,1,,
equation2,emilius,maria5,M,b,1838,"EQUATION  (GB) b. M, 1838 {7-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/equation2,EQUATION  (GB),0,True,,,
exile+mare,exile2,purity5,M,b,1838,"EXILE MARE (GB) b. M, 1838 {31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/exile+mare,EXILE MARE (GB),0,True,,,
figaro5,operator2,adelaide6,H,ch,1838,"FIGARO  (AUS) ch. H, 1838 { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/figaro5,FIGARO  (AUS),0,True,,,
galaor,muley+moloch,darioletta,H,b,1838,"GALAOR  (GB) b. H, 1838 {3-i} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/galaor,GALAOR  (GB),0,True,,,
ghuznee,pantaloon,languish,M,b,1838,"GHUZNEE  (GB) b. M, 1838 {20-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/ghuznee,GHUZNEE  (GB),0,TRUE,1,,
glencairne,sultan,trampoline,M,b,1838,"GLENCAIRNE  (GB) b. M, 1838 {1-t} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/glencairne,GLENCAIRNE  (GB),0,True,,,
hamlet,consol2,plenty,H,br,1838,"HAMLET  (USA) br. H, 1838 {1-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/hamlet,HAMLET  (USA),0,True,,,
hampton+mare3,hampton2,cervantes+mare,M,br,1838,"HAMPTON MARE  (GB) br. M, 1838 {2-d} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/hampton+mare3,HAMPTON MARE  (GB),0,True,,,
hinda3,sultan,katherina2,M,b,1838,"HINDA (GB) b. M, 1838 {29} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/hinda3,HINDA (GB),0,True,,,
image,langar,tuft2,M,br,1838,"IMAGE  (GB) br. M, 1838 {8} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/image,IMAGE  (GB),0,True,,,
john+o+gaunt,taurus2,mona3,H,ch,1838,"JOHN O' GAUNT  (GB) ch. H, 1838 {9-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/john+o+gaunt,JOHN O' GAUNT  (GB),0,True,,,
knight+of+the+whistle,velocipede,whisker+mare9,H,ch,1838,"KNIGHT OF THE WHISTLE  (GB) ch. H, 1838 {3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/knight+of+the+whistle,KNIGHT OF THE WHISTLE  (GB),0,True,,,
lady+mary5,voltaire,lady+moore+carew,M,br,1838,"LADY MARY  (GB) br. M, 1838 {13-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/lady+mary5,LADY MARY  (GB),0,True,,,
medea4,mozart2,whizgig2,M,,1838,"MEDEA  (AUS) M, 1838 {3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/medea4,MEDEA  (AUS),0,True,,,
minuit2,terror2,nell4,M,br,1838,"MINUIT  (FR) br. M, 1838 {4-o} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/minuit2,MINUIT  (FR),0,True,,,
miss+lydia,belshazzar,comus+mare6,M,gr,1838,"MISS LYDIA  (GB) gr. M, 1838 {9-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/miss+lydia,MISS LYDIA  (GB),0,TRUE,1,,
miss+twickenham,rockingham,electress,M,ch,1838,"MISS TWICKENHAM  (GB) ch. M, 1838 {2-t} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/miss+twickenham,MISS TWICKENHAM  (GB),0,TRUE,1,,
miss+whinney,sir+hercules,euphrosyne,M,b,1838,"MISS WHINNEY  (GB) b. M, 1838 {19-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/miss+whinney,MISS WHINNEY  (GB),0,TRUE,1,,
monstrosity,plenipotentiary,puce2,M,ch,1838,"MONSTROSITY  (GB) ch. M, 1838 {4-l} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/monstrosity,MONSTROSITY  (GB),0,True,1,,
moonbeam3,tomboy2,lunatic2,M,ch,1838,"MOONBEAM (GB) ch. M, 1838 {4-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/moonbeam3,MOONBEAM (GB),0,TRUE,1,,
muley+mare2,muley,rosalia2,M,ch,1838,"MULEY MARE  (GB) ch. M, 1838 {19} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/muley+mare2,MULEY MARE  (GB),0,True,1,,
muley+moloch+mare,muley+moloch,chateau+margaux+mare,M,br,1838,"MULEY MOLOCH MARE (GB) br. M, 1838 {2-e} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/muley+moloch+mare,MULEY MOLOCH MARE (GB),0,TRUE,1,,
palmyra,sultan,hester3,M,br,1838,"PALMYRA (GB) br. M, 1838 {12-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/palmyra,PALMYRA (GB),0,TRUE,1,,
patty4,laurel3,brandy+ann,M,,1838,"PATTY  (GB) M, 1838 {12-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/patty4,PATTY  (GB),0,True,,,
pione,voltaire,fanchon3,M,b,1838,"PIONE (GB) b. M, 1838 {3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/pione,PIONE (GB),0,True,,,
poetess,royal+oak,ada,M,b,1838,"POETESS  (FR) b. M, 1838 {19-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/poetess,POETESS  (FR),0,TRUE,1,,
princess+ann2,leviathan,sally+kirby,M,b,1838,"PRINCESS ANN  (USA) b. M, 1838 {A16} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/princess+ann2,PRINCESS ANN  (USA),0,True,,,
queen+of+carthage,velocipede,dido,M,ch,1838,"QUEEN OF CARTHAGE  (GB) ch. M, 1838 ",https://www.pedigreequery.com/queen+of+carthage,QUEEN OF CARTHAGE  (GB),0,True,,,
rebekah,sir+hercules,sam+mare,M,ch,1838,"REBEKAH (GB) ch. M, 1838 {1-e} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/rebekah,REBEKAH (GB),0,TRUE,1,,
reel,glencoe,gallopade,M,gr,1838,"REEL   (USA) gr. M, 1838 {23-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf - 8 Starts, 7 Wins, 1 Places, 0 Shows ",https://www.pedigreequery.com/reel,REEL   (USA),0,TRUE,1,,
rosa+langar,langar,wild+rose2,M,ch,1838,"ROSA LANGAR  (GB) ch. M, 1838 {26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/rosa+langar,ROSA LANGAR  (GB),0,True,1,,
septimus,satan2,rachel6,H,br,1838,SEPTIMUS (GB) br. 1838,https://www.pedigreequery.com/septimus,SEPTIMUS (GB),1,,,,
simoom2,camel,sea-breeze,H,br,1838,"SIMOOM  (GB) br. H, 1838 {4-o} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/simoom2,SIMOOM  (GB),0,True,,,
skiff2,sheet+anchor,tertia,M,br,1838,"SKIFF (GB) br. M, 1838 {2-m} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/skiff2,SKIFF (GB),0,True,,,
snowdrop5,dr+syntax,princess+victoria,M,b,1838,"SNOWDROP  (GB) b. M, 1838 {11-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/snowdrop5,SNOWDROP  (GB),0,True,,,
tearaway,voltaire,taglioni2,H,b,1838,"TEARAWAY  (IRE) b. H, 1838 {15} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/tearaway,TEARAWAY  (IRE),0,True,,,
the+lady+of+penydaran,pantaloon,puff3,M,ch,1838,"THE LADY OF PENYDARAN (GB) ch. M, 1838 {17-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/the+lady+of+penydaran,THE LADY OF PENYDARAN (GB),0,True,,,
the+nob,glaucus,octave,H,b,1838,"THE NOB  (GB) b. H, 1838 {1-o} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/the+nob,THE NOB  (GB),0,TRUE,1,,
the+saddler+mare2,the+saddler,stays,M,br,1838,"THE SADDLER MARE  (GB) br. M, 1838 {24} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/the+saddler+mare2,THE SADDLER MARE  (GB),0,True,,,
the+saddler+mare4,the+saddler,partisan+mare,M,ch,1838,"THE SADDLER MARE  (GB) ch. M, 1838 {6-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/the+saddler+mare4,THE SADDLER MARE  (GB),0,True,,,
thirsk,voltaire,whisker+mare6,H,b,1838,"THIRSK (GB) b. H, 1838 {9-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/thirsk,THIRSK (GB),0,True,,,
thornhill,glencoe,pickle,H,ch,1838,"THORNHILL  (USA) ch. H, 1838 {1-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/thornhill,THORNHILL  (USA),0,TRUE,1,,
tomboy+mare2,tomboy2,tesane,M,br,1838,"TOMBOY MARE  (GB) br. M, 1838 {18-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/tomboy+mare2,TOMBOY MARE  (GB),0,TRUE,1,,
tomboy+mare,tomboy2,waxy+mare13,M,,1838,"TOMBOY MARE  (GB) M, 1838 {5-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/tomboy+mare,TOMBOY MARE  (GB),0,True,,,
tory+boy,tomboy2,bessy+bedlam,H,br,1838,"TORY BOY  (GB) br. H, 1838 {4-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/tory+boy,TORY BOY  (GB),0,True,,,
tranby+anna,tranby,lady+thompkins,M,b,1838,"TRANBY ANNA  (USA) b. M, 1838 {A15} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/tranby+anna,TRANBY ANNA  (USA),0,True,,,
vincente+nolte,american+eclipse,hortensia6,H,ch,1838,"VINCENTE NOLTE  (USA) ch. H, 1838 { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/vincente+nolte,VINCENTE NOLTE  (USA),0,True,,,
vitula,voltaire,lottery+mare,M,b,1838,"VITULA  (GB) b. M, 1838 {21-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/vitula,VITULA  (GB),0,TRUE,1,,
zenith5,american+eclipse,belle+anderson,H,b,1838,"ZENITH  (USA) b. H, 1838 {A2} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf - 4 Starts, 4 Wins, 0 Places, 0 Shows ",https://www.pedigreequery.com/zenith5,ZENITH  (USA),0,True,,,
voltaire+mare2,voltaire,kalmia4,M,b,1838,VOLTAIRE MARE (GB) b. 1838,https://www.pedigreequery.com/voltaire+mare2,VOLTAIRE MARE (GB),2,,,,
phingari,beiram,redgauntlet+mare,M,ch,1838,"PHINGARI (GB) ch. M, 1838 {19} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/phingari,PHINGARI (GB),0,True,,,
miss+horewood,the+saddler,cyprian,M,ch,1838,"MISS HOREWOOD  (GB) ch. M, 1838 {23-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/miss+horewood,MISS HOREWOOD  (GB),0,True,,,
fair+helen6,rous+emigrant,fair+ellen5,M,,1838,FAIR HELEN (AUS)1838,https://www.pedigreequery.com/fair+helen6,FAIR HELEN (AUS),1,,,,
old+moonshine,theorem,moonshine4,M,,1838,"OLD MOONSHINE  (AUS) M, ~1838 {18} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/old+moonshine,OLD MOONSHINE  (AUS),0,True,,,
amaranth3,bay+middleton,miss+fanny2,M,b,1839,"AMARANTH (GB) b. M, 1839 {12-g} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/amaranth3,AMARANTH (GB),0,True,,,
ambassador6,plenipotentiary,jenny+mills,H,ch,1839,"AMBASSADOR  (USA) ch. H, 1839 {15-d} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/ambassador6,AMBASSADOR  (USA),0,TRUE,1,,
american+eclipse+mare7,american+eclipse,rattler+mare3,M,ch,1839,"AMERICAN ECLIPSE MARE  (USA) ch. M, 1839 {A7} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+eclipse+mare7,AMERICAN ECLIPSE MARE  (USA),0,True,1,,
annetta2,ibrahim,miss+annette,M,ch,1839,"ANNETTA  (FR) ch. M, 1839 {19-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/annetta2,ANNETTA  (FR),0,True,,,
archy,camel,garcia,H,br,1839,"ARCHY (GB) br. H, 1839 {4} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/archy,ARCHY (GB),0,True,,,
arethusa3,elis,languid2,M,b,1839,"ARETHUSA (GB) b. M, 1839 {20-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf Career Earnings: Unraced",https://www.pedigreequery.com/arethusa3,ARETHUSA (GB),0,TRUE,1,,
auckland,touchstone,maid+of+honor4,H,br,1839,"AUCKLAND  (GB) br. H, 1839 {14} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/auckland,AUCKLAND  (GB),0,True,,,
bay+middleton+mare4,bay+middleton,comus+mare3,M,br,1839,"BAY MIDDLETON MARE  (GB) br. M, 1839 {2-d} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bay+middleton+mare4,BAY MIDDLETON MARE  (GB),0,TRUE,1,,
bay+middleton+mare,bay+middleton,nitocris,M,b,1839,"BAY MIDDLETON MARE (GB) b. M, 1839 ",https://www.pedigreequery.com/bay+middleton+mare,BAY MIDDLETON MARE (GB),0,TRUE,1,,
bay+middleton+mare5,bay+middleton,apollonia,M,b,1839,"BAY MIDDLETON MARE (GB) b. M, 1839 {8-k} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bay+middleton+mare5,BAY MIDDLETON MARE (GB),0,True,,,
belle+dame,belshazzar,ellen,M,ch,1839,"BELLE DAME (GB) ch. M, 1839 {5-d} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/belle+dame,BELLE DAME (GB),0,TRUE,1,,
biddy2,bran,idalia,M,ch,1839,"BIDDY  (GB) ch. M, 1839 {17-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/biddy2,BIDDY  (GB),0,TRUE,1,,
bohemienne2,confederate,gipsy3,M,b,1839,"BOHEMIENNE  (GB) b. M, 1839 {8-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bohemienne2,BOHEMIENNE  (GB),0,True,,,
bonny+bonnet,muley+moloch,silvertail,M,b,1839,"BONNY BONNET (GB) b. M, 1839 {2-s} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bonny+bonnet,BONNY BONNET (GB),0,True,,,
bran+mare,bran,active,M,b,1839,"BRAN MARE  (GB) b. M, 1839 {6-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bran+mare,BRAN MARE  (GB),0,True,1,,
brawners+eclipse,american+eclipse,henry+mare,H,ch,1839,"BRAWNERS ECLIPSE  (USA) ch. H, 1839 {3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/brawners+eclipse,BRAWNERS ECLIPSE  (USA),0,True,,,
bridal,bay+middleton,goldpin,M,b,1839,"BRIDAL (GB) b. M, 1839 {3-m} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/bridal,BRIDAL (GB),0,True,,,
celia3,touchstone,amima,M,br,1839,"CELIA  (GB) br. M, 1839 {26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/celia3,CELIA  (GB),0,True,1,,
chatham,the+colonel3,hester3,H,ch,1839,"CHATHAM  (GB) ch. H, 1839 {12-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/chatham,CHATHAM  (GB),0,True,,,
chloe+anderson,rodolph,belle+anderson,M,b,1839,"CHLOE ANDERSON  (USA) b. M, 1839 {A2} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/chloe+anderson,CHLOE ANDERSON  (USA),0,TRUE,1,,
colwick+mare,colwick,game+lass2,M,br,1839,"COLWICK MARE  (GB) br. M, 1839 {42} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colwick+mare,COLWICK MARE  (GB),0,True,,,
coral4,sir+hercules,ruby2,M,b,1839,"CORAL  (GB) b. M, 1839 {26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/coral4,CORAL  (GB),0,True,,,
cytherea2,camel,ladys+slipper2,M,b,1839,"CYTHEREA (GB) b. M, 1839 {11} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/cytherea2,CYTHEREA (GB),0,True,1,,
dahlia3,new+fashion3,matilda2,M,ch,1839,"DAHLIA  (IRE) ch. M, 1839 {13} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/dahlia3,DAHLIA  (IRE),0,True,,,
dolphin2,leviathan,virginia4,M,b,1839,"DOLPHIN  (USA) b. M, 1839 {21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/dolphin2,DOLPHIN  (USA),0,True,,,
elopement3,velocipede,scandal,M,ch,1839,"ELOPEMENT  (GB) ch. M, 1839 {11-e} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/elopement3,ELOPEMENT  (GB),0,TRUE,1,,
envoy2,plenipotentiary,ayesha3,H,ch,1839,"ENVOY  (GB) ch. H, 1839 {3-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/envoy2,ENVOY  (GB),0,TRUE,1,,
erato3,valparaiso,emma36,M,ch,1839,"ERATO  (GB) ch. M, 1839 {1-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/erato3,ERATO  (GB),0,True,,,
eusebia,emilius,mangel-wurzel,M,ch,1839,"EUSEBIA  (GB) ch. M, 1839 {1-b} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/eusebia,EUSEBIA  (GB),0,True,1,,
evasion2,emilius,variation2,M,ch,1839,"EVASION (GB) ch. M, 1839 {9} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/evasion2,EVASION (GB),0,True,,,
evening+star4,touchstone,bertha,M,br,1839,"EVENING STAR (GB) br. M, 1839 {14-e} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/evening+star4,EVENING STAR (GB),0,TRUE,1,,
falcon2,woodpecker3,ophelia,M,b,1839,"FALCON  (USA) b. M, 1839 {21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/falcon2,FALCON  (USA),0,True,1,,
florence5,velocipede,margarette,M,ch,1839,"FLORENCE  (GB) ch. M, 1839 {2-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/florence5,FLORENCE  (GB),0,True,,,
galanthus,langar,cast+steel,H,b,1839,"GALANTHUS  (GB) b. H, 1839 {19-c} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/galanthus,GALANTHUS  (GB),0,True,,,
haitoe,sir+hercules,apparition3,M,ch,1839,"HAITOE (GB) ch. M, 1839 {5-a} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/haitoe,HAITOE (GB),0,True,,,
herald4,plenipotentiary,delphine3,H,ch,1839,"HERALD  (USA) ch. H, 1839 {8-k} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/herald4,HERALD  (USA),0,TRUE,1,,
