PrimaryKey,Sire,Dam,Sex,Color,Year,Details,URL,Horse Name,Generation,LoadURL,,,
family+number+twelve,,,M,,,"FAMILY NUMBER TWELVE M, {12} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+twelve,FAMILY NUMBER TWELVE,0,TRUE,1,,
family+number+twenty+one,,,M,,,"FAMILY NUMBER TWENTY ONE M, {21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+twenty+one,FAMILY NUMBER TWENTY ONE,0,TRUE,1,,
madam+bosley,sir+richard+tonson,nancy+nichol,M,gr,,"MADAM BOSLEY (USA) gr. M, {A10} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/madam+bosley,MADAM BOSLEY (USA),0,TRUE,1,,
pindella,monmouth+eclipse,kitty+cade,M,ch,,"PINDELLA  (USA) ch. M, {A31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/pindella,PINDELLA  (USA),0,True,,,
young+empress2,financier,empress6,M,gr,,"YOUNG EMPRESS  (USA) gr. M, {41} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/young+empress2,YOUNG EMPRESS  (USA),0,True,,,
family+number+fifty+one,,,M,,,"FAMILY NUMBER FIFTY ONE M, {51} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+one,FAMILY NUMBER FIFTY ONE,0,True,,,
adelaide6,theorem,bay+camerton+mare4,M,,,ADELAIDE (AUS) ,https://www.pedigreequery.com/adelaide6,ADELAIDE (AUS),1,,,,
aether+mare,aether,colonial+family+twenty,M,,,"AETHER MARE M, {C20} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/aether+mare,AETHER MARE,0,True,,,
albert+mare,albert2,algerine+mare,M,blk,,"ALBERT MARE  (USA) blk. M, {A6} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/albert+mare,ALBERT MARE  (USA),0,TRUE,1,,
algerine+mare,algerine2,grey+alfred+mare,M,,,"ALGERINE MARE (USA) M, {A6} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/algerine+mare,ALGERINE MARE (USA),0,True,1,,
american+family+five,,,M,,,"AMERICAN FAMILY FIVE M, {A5} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+five,AMERICAN FAMILY FIVE,0,True,,,
american+family+forty+five,,,M,,,"AMERICAN FAMILY FORTY FIVE M, {a45} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+forty+five,AMERICAN FAMILY FORTY FIVE,0,True,,,
american+family+forty+four,,,M,,,"AMERICAN FAMILY FORTY FOUR M, {a44} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+forty+four,AMERICAN FAMILY FORTY FOUR,0,True,,,
american+family+nine,,,M,,,"AMERICAN FAMILY NINE M, {A9} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+nine,AMERICAN FAMILY NINE,0,TRUE,1,,
american+family+seven,,,M,,,"AMERICAN FAMILY SEVEN M, {A7} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+seven,AMERICAN FAMILY SEVEN,0,TRUE,1,,
american+family+seventy+four,,,M,,,"AMERICAN FAMILY SEVENTY FOUR M, {a74} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+seventy+four,AMERICAN FAMILY SEVENTY FOUR,0,TRUE,1,,
american+family+seventy+nine,,,M,,,"AMERICAN FAMILY SEVENTY NINE M, {a79} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+seventy+nine,AMERICAN FAMILY SEVENTY NINE,0,TRUE,1,,
american+family+six,,,M,,,"AMERICAN FAMILY SIX M, {A6} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+six,AMERICAN FAMILY SIX,0,TRUE,1,,
american+family+thirty+five,,,M,,,"AMERICAN FAMILY THIRTY FIVE M, {A35} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+five,AMERICAN FAMILY THIRTY FIVE,0,True,,,
american+family+thirty+four,,,M,,,"AMERICAN FAMILY THIRTY FOUR M, {A34} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+four,AMERICAN FAMILY THIRTY FOUR,0,TRUE,1,,
american+family+thirty+nine,,,M,,,"AMERICAN FAMILY THIRTY NINE M, {A39} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+nine,AMERICAN FAMILY THIRTY NINE,0,True,,,
american+family+thirty+seven,,,M,,,"AMERICAN FAMILY THIRTY SEVEN M, {A37} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+seven,AMERICAN FAMILY THIRTY SEVEN,0,True,,,
american+family+thirty+three,,,M,,,"AMERICAN FAMILY THIRTY THREE M, {A33} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+three,AMERICAN FAMILY THIRTY THREE,0,True,,,
american+family+three,,,M,,,"AMERICAN FAMILY THREE M, {A3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+three,AMERICAN FAMILY THREE,0,TRUE,1,,
american+family+twenty,,,M,,,"AMERICAN FAMILY TWENTY M, {A20} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+twenty,AMERICAN FAMILY TWENTY,0,True,,,
american+family+twenty+five,,,M,,,"AMERICAN FAMILY TWENTY FIVE M, {A25} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+twenty+five,AMERICAN FAMILY TWENTY FIVE,0,True,,,
american+family+twenty+four,,,M,,,"AMERICAN FAMILY TWENTY FOUR M, {A24} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+twenty+four,AMERICAN FAMILY TWENTY FOUR,0,TRUE,1,,
american+family+twenty+two,,,M,,,"AMERICAN FAMILY TWENTY TWO M, {A22} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+twenty+two,AMERICAN FAMILY TWENTY TWO,0,True,,,
american+family+two,,,M,,,"AMERICAN FAMILY TWO M, {A2} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+two,AMERICAN FAMILY TWO,0,TRUE,1,,
aspinalls+english+mare,,colonial+family+nine,M,,,"ASPINALLS ENGLISH MARE  (GB) M, {C9} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/aspinalls+english+mare,ASPINALLS ENGLISH MARE  (GB),0,True,,,
babraham+mare8,goodes+babraham,slim+mare,M,,,BABRAHAM MARE (USA) ,https://www.pedigreequery.com/babraham+mare8,BABRAHAM MARE (USA),1,,1,,
